ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20231226,193.05,193.61,193.89,192.83,193.6,-0.28,28919309,5586415507.0,193.17
AAPL,20231222,193.6,195.18,195.41,192.97,194.68,-0.55,37149571,7211158951.17,194.11
AAPL,20231221,194.68,196.1,197.08,193.5,194.83,-0.08,46482551,9051677772.2,194.73
AAPL,20231220,194.83,196.9,197.68,194.83,196.94,-1.07,52242817,10254361176.37,196.28
AAPL,20231219,196.94,196.16,196.95,195.89,195.89,0.54,40714051,8000718162.01,196.51
AAPL,20231218,195.89,196.09,196.63,194.39,197.57,-0.85,55751860,10901267671.85,195.53
AAPL,20231215,197.57,197.53,198.4,197.0,198.11,-0.27,128538380,25396805927.97,197.58
AAPL,20231214,198.11,198.02,199.62,196.16,197.96,0.08,66831563,13252571962.93,198.3
AAPL,20231213,197.96,195.09,198.0,194.85,194.71,1.67,70404188,13858409648.85,196.84
AAPL,20231212,194.71,193.08,194.72,191.72,193.18,0.79,52696899,10206772782.58,193.69
AAPL,20231211,193.18,193.11,193.49,191.42,195.71,-1.29,60943700,11740664243.93,192.65
AAPL,20231208,195.71,194.2,195.99,193.67,194.27,0.74,53406360,10421674899.38,195.14
AAPL,20231207,194.27,193.63,195.0,193.59,192.32,1.01,47477657,9230677290.43,194.42
AAPL,20231206,192.32,194.45,194.76,192.11,193.42,-0.57,41089739,7922130852.91,192.8
AAPL,20231205,193.42,190.21,194.4,190.18,189.43,2.11,66628375,12872721981.07,193.2
AAPL,20231204,189.43,189.98,190.05,187.45,191.24,-0.95,43389520,8195556156.91,188.88
AAPL,20231201,191.24,190.33,191.56,189.23,189.95,0.68,45704825,8721148357.49,190.81
AAPL,20231130,189.95,189.84,190.32,188.19,189.37,0.31,48794368,9235973634.76,189.28
AAPL,20231129,189.37,190.9,192.09,188.97,190.4,-0.54,43014223,8177313494.71,190.11
AAPL,20231128,190.4,189.78,191.08,189.4,189.79,0.32,38415418,7305667484.32,190.18
AAPL,20231127,189.79,189.92,190.67,188.9,189.97,-0.09,40552610,7696731683.61,189.8
AAPL,20231124,189.97,190.87,190.9,189.25,191.31,-0.7,24048344,4563649671.69,189.77
AAPL,20231122,191.31,191.49,192.93,190.82,190.64,0.35,39630012,7598856650.94,191.75
AAPL,20231121,190.64,191.41,191.52,189.74,191.45,-0.42,38134485,7264612146.95,190.5
AAPL,20231120,191.45,189.89,191.91,189.88,189.69,0.93,46538614,8903288282.76,191.31
AAPL,20231117,189.69,190.25,190.38,188.57,189.71,-0.01,50941403,9657313771.8,189.58
AAPL,20231116,189.71,189.57,190.96,188.65,188.01,0.9,54412915,10323386913.84,189.72
AAPL,20231115,188.01,187.85,189.5,187.78,187.44,0.3,53790500,10138633002.75,188.48
AAPL,20231114,187.44,187.7,188.11,186.3,184.8,1.43,60108379,11258810909.01,187.31
